State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),All People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Asian/Pacific Islander,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Murder Rate,Avg Annual Police Homicide Rate,Avg Annual Police Homicide Rate for Black People,Avg Annual Police Homicide Rate for White People,Avg Annual Police Homicide Rate for Hispanic People,Black-White Disparity,Hispanic-White Disparity,Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),Average Violent Crimes Reported (2013-17),Violent Crime Rate,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests,Estimated Average Arrests per Year,Killings by Police per 10k Arrests
Nevada,Reno,Reno Police Department,3.0,5.0,,,,4.0,2.0,14.0,225221.0,5990.0,140752.0,2066.0,13913.0,1505.0,15418.0,441.0,5914.0,54640.0,32.082550048828125,12.0,5.328099955155158,8.880166591925265,71.54781779155736,4.059825589892658,13.07257895837691,17.623372287145244,3.219985358711567,1154.0,1147.0,1419.0,1717.0,1674.0,1636.0,1457.8333333333333,6.4729014316308575,12196.0,12309.0,11869.0,12044.0,12837.0,14422.0,12696.2,11.026921441061104
California,Riverside,Riverside Police Department,3.0,5.0,,,,,,8.0,303871.0,19917.0,103398.0,1297.0,21934.0,1019.0,22953.0,617.0,6736.0,148953.0,25.40990447998047,27.0,8.885349375228303,3.7609944445410814,21.517870591526265,0.0,4.7953764898035915,No White People were Killed by Police,No White People were Killed by Police,1330.0,1384.0,1441.0,1724.0,1669.0,1686.0,1539.0,5.064649143880134,8117.0,11796.0,8500.0,9122.0,7573.0,7443.0,8886.8,9.002115497141828
New York,Rochester,Rochester Police Department,2.0,,,1.0,,1.0,,4.0,210565.0,83346.0,79178.0,666.0,6350.0,77.0,6427.0,392.0,6100.0,34456.0,51.59428787231445,28.0,13.29755657397953,2.71378705591419,3.4280503649159617,1.804252985136564,0.0,1.899983202553212,0,2107.0,1765.0,1839.0,1845.0,1872.0,1615.0,1840.5,8.740768883717617,,,,,,,,
California,Sacramento,Sacramento Police Department,5.0,2.0,,,,5.0,1.0,13.0,466488.0,64967.0,161062.0,2586.0,83841.0,6392.0,90233.0,1253.0,21111.0,125276.0,40.570213317871094,103.0,22.079882011970298,3.9811160354454076,10.994592859231831,4.434849401384028,2.280678547481447,2.479135561131036,0.5142629075002395,3137.0,2968.0,3611.0,3549.0,3378.0,3329.0,3328.6666666666665,7.135589054094996,18467.0,19824.0,18132.0,16282.0,13810.0,14054.0,16420.4,7.916981315924094
Texas,San Antonio,San Antonio Police Department,8.0,25.0,,1.0,,9.0,4.0,47.0,1327407.0,83365.0,353106.0,2771.0,30596.0,1097.0,31693.0,2105.0,15415.0,838952.0,43.07755661010742,43.0,3.2393983156635455,5.058196705521151,13.7090762653049,3.6411567226676573,4.2570118092913205,3.7650332873508066,1.1691372092801495,8828.0,7704.0,8594.0,10754.0,10759.0,9647.0,9381.0,7.067161767265052,58324.0,57490.0,50826.0,42077.0,52253.0,61234.0,52776.0,8.905563134758223
California,San Bernardino,San Bernardino Police Department,,5.0,,1.0,,3.0,1.0,10.0,209924.0,29897.0,39977.0,867.0,8027.0,704.0,8731.0,361.0,4097.0,125994.0,33.098663330078125,32.0,15.243611973857204,6.805183916900539,0.0,10.720449973020202,5.669204202467691,0,0.5288214782714521,1949.0,2128.0,2697.0,2878.0,2805.0,2906.0,2560.5,12.19727139345668,6996.0,7993.0,6337.0,6714.0,8120.0,9195.0,7671.8,13.034750645220157
California,San Diego,San Diego Police Department,2.0,9.0,,4.0,1.0,12.0,2.0,30.0,1307402.0,82497.0,589702.0,3545.0,204347.0,5178.0,209525.0,3293.0,42820.0,376020.0,54.567657470703125,45.0,3.441940581397305,3.278038648949815,3.463329402454462,2.9070373074632854,3.4192710114203653,1.1913604939169506,1.1762047231530237,5303.0,5214.0,5582.0,5332.0,5221.0,5360.0,5335.333333333333,4.080866736729279,41444.0,40118.0,36587.0,35761.0,35725.0,33674.0,36373.0,8.24787617188574
California,San Francisco,San Francisco Police Department,5.0,7.0,,1.0,,5.0,,18.0,805235.0,46781.0,337451.0,1828.0,265700.0,3128.0,268828.0,2494.0,26079.0,121774.0,52.7595100402832,32.0,3.973995169112123,3.1933889751793845,15.268714099435975,2.1167094312528763,8.21193358188119,7.213419978196276,3.879575278795145,7064.0,6761.0,6710.0,6190.0,6301.0,6144.0,6528.333333333333,8.107364102818845,17451.0,14699.0,16604.0,15271.0,13950.0,13891.0,14883.0,12.094335819391251
California,San Jose,San Jose Police Department,1.0,10.0,,1.0,1.0,7.0,2.0,22.0,945942.0,27508.0,271382.0,2255.0,300022.0,3492.0,303514.0,1820.0,25827.0,313636.0,36.757720947265625,18.0,1.9028650805229073,3.322462839008251,5.193294418247159,3.6848427677591005,4.554870705440155,1.4093666258127504,1.23610992178376,3215.0,3242.0,3400.0,3887.0,4188.0,4444.0,3729.3333333333335,3.9424545409056093,17994.0,17729.0,16232.0,13034.0,13977.0,15392.0,15272.8,14.404693310984234
California,Santa Ana,Santa Ana Police Department,1.0,10.0,,1.0,,1.0,3.0,16.0,324528.0,3177.0,29950.0,507.0,33618.0,826.0,34444.0,375.0,2147.0,253928.0,24.480152130126953,4.0,1.2325592861016614,7.043195920580923,44.966050631773015,4.769854519437158,5.625891703835059,9.42713251495121,1.1794681957090198,1121.0,1260.0,1626.0,1612.0,1640.0,1571.0,1471.6666666666667,4.534791040115696,8715.0,8641.0,8101.0,7349.0,7397.0,6609.0,7619.4,20.999028794918235
Arizona,Scottsdale,Scottsdale Police Department,1.0,1.0,,,,4.0,2.0,8.0,217385.0,3484.0,182011.0,1462.0,7128.0,189.0,7317.0,276.0,3610.0,19225.0,23.463048934936523,26.0,11.96034685005865,5.2572953187071,41.003772347055936,3.1395276737591216,7.430800668772061,13.060490815154996,2.366853055916775,337.0,,434.0,369.0,396.0,422.0,391.6,1.8014122409549878,10468.0,9673.0,8910.0,9066.0,9619.0,9296.0,9312.8,8.590327291469805
Washington,Seattle,Seattle Police Department,4.0,2.0,1.0,2.0,1.0,10.0,3.0,23.0,608660.0,47113.0,403578.0,3881.0,83537.0,2246.0,85783.0,1464.0,26512.0,40329.0,51.67504119873047,10.0,1.6429533729832748,5.398275368373618,12.128893753922942,3.5397653701922027,7.0845864195562935,3.4264682783944984,2.0014282526221825,3758.0,4001.0,4093.0,4294.0,4564.0,5052.0,4293.666666666667,7.054294132465854,15100.0,13207.0,14230.0,14569.0,14543.0,15182.0,14346.2,16.032120003903472
Washington,Spokane,Spokane Police Department,1.0,,2.0,,,11.0,1.0,15.0,208916.0,4643.0,175482.0,3663.0,5266.0,1152.0,6418.0,281.0,7962.0,10467.0,21.73470115661621,159.0,76.10714354094469,10.257027431394164,30.76828405279838,8.954927408102092,0.0,3.4359054686429236,0,1440.0,1156.0,1111.0,,1360.0,1742.0,1361.8,6.518409312833866,10654.0,18510.0,23794.0,,4951.0,5865.0,13280.0,11.295180722891565
Missouri,St. Louis,St. Louis Metropolitan Police Department,36.0,,,,,3.0,1.0,40.0,319294.0,156389.0,134702.0,684.0,9233.0,62.0,9295.0,478.0,6616.0,11130.0,65.28059387207031,11.0,3.445100753537492,17.896627291103854,32.88503119053861,3.1816263201097876,0.0,10.335918766665174,0,5077.0,5348.0,5762.0,6017.0,6461.0,5525.0,5698.333333333333,17.846665873249524,23094.0,19261.0,20493.0,20163.0,18729.0,16993.0,19127.8,20.911971057832055
Minnesota,St. Paul,St. Paul Police Department,5.0,1.0,2.0,2.0,,3.0,,13.0,285068.0,43620.0,159437.0,2316.0,42494.0,120.0,42614.0,494.0,9276.0,27311.0,43.442752838134766,19.0,6.6650764028231855,6.514736333586574,16.37518831466562,2.688029933901344,5.230754745602243,6.0918920984258,1.9459436368740313,2200.0,1974.0,2115.0,1970.0,1996.0,1941.0,2032.6666666666667,7.1304624393711915,11758.0,9820.0,9659.0,9024.0,9557.0,8632.0,9338.4,13.921014306519318
Florida,St. Petersburg,St. Petersburg Police Department,2.0,,,,,8.0,,10.0,244769.0,57489.0,157409.0,567.0,7672.0,106.0,7778.0,539.0,4773.0,16214.0,65.70047760009766,49.0,20.018874939228418,5.836406687821697,4.969894861874197,7.260430743204918,0.0,0.684517907773661,0,2379.0,2169.0,1898.0,1727.0,1842.0,1660.0,1945.8333333333333,7.949672276037134,13997.0,13654.0,13491.0,10907.0,10149.0,9753.0,11590.8,8.627532180695034
California,Stockton,Stockton Police Department,5.0,5.0,,2.0,1.0,3.0,1.0,17.0,291707.0,33507.0,66836.0,1237.0,60323.0,1622.0,61945.0,470.0,10122.0,117590.0,37.252235412597656,28.0,9.598672640697686,8.325379331217382,21.317507215976192,6.412284226635775,6.07437464313049,3.324479462002964,0.9473027751792952,3622.0,3988.0,4122.0,4381.0,4379.0,4383.0,4145.833333333333,14.212320353413984,8008.0,7681.0,6261.0,6154.0,7435.0,7327.0,6971.6,24.384646279189855
Florida,Tampa,Tampa Police Department,4.0,,,2.0,,3.0,,9.0,335709.0,83032.0,155552.0,755.0,11362.0,207.0,11569.0,794.0,6535.0,77472.0,58.694190979003906,24.0,7.149048729703405,3.829847533769681,6.882028271372139,2.7551650160166927,0.0,2.497864277226451,0,2097.0,2080.0,2298.0,1906.0,1785.0,1598.0,1960.6666666666667,5.840375642793808,41318.0,38102.0,30983.0,25676.0,22660.0,20310.0,27546.2,3.2672383123625037
Ohio,Toledo,Toledo Police Department,3.0,,,,,4.0,,7.0,287208.0,76820.0,176468.0,755.0,3204.0,64.0,3268.0,522.0,8144.0,21231.0,53.45294952392578,47.0,16.364446672794628,3.4817971644243895,5.578904303194853,3.2381427308552913,0.0,1.722871648008331,0,2902.0,3068.0,3156.0,3319.0,,2333.0,2955.6,10.290799699172725,,,,,7426.0,8467.0,7946.5,8.808909582835211
Arizona,Tucson,Tucson Police Department,2.0,10.0,,,,10.0,6.0,28.0,520116.0,23362.0,245323.0,8776.0,14211.0,951.0,15162.0,792.0,10393.0,216308.0,25.65435218811035,46.0,8.844180913488529,7.690592098685679,12.22987268702533,5.823226638233793,6.604339315103596,2.10018834003938,1.1341374336594114,3368.0,,3472.0,4245.0,4268.0,3958.0,3862.2,7.425651200885955,31892.0,32313.0,32294.0,33442.0,30569.0,28858.0,31495.2,8.89024359267444
Oklahoma,Tulsa,Tulsa Police Department,7.0,4.0,,1.0,,14.0,1.0,27.0,391906.0,61230.0,227021.0,19473.0,8926.0,278.0,9204.0,473.0,19239.0,55266.0,49.789894104003906,17.0,4.337774874587273,9.8420102196518,16.331863465621428,8.809757687614802,10.339604303343313,1.8538379879144211,1.1736536542746512,3827.0,3217.0,3628.0,4444.0,4214.0,4294.0,3937.3333333333335,10.046626827181349,16360.0,14739.0,15769.0,14311.0,12666.0,13303.0,14157.6,19.071028987964063
Virginia,Virginia Beach,Virginia Beach Police Department,3.0,,,,,2.0,1.0,6.0,437994.0,83210.0,282470.0,1349.0,26312.0,602.0,26914.0,863.0,14201.0,28987.0,36.355953216552734,105.0,23.97293113604296,1.9569739702892215,5.150479853039641,1.011485416909002,0.0,5.091996154308375,0,730.0,660.0,626.0,700.0,625.0,528.0,644.8333333333334,1.4722423899261938,24359.0,23247.0,20259.0,19190.0,18668.0,17071.0,19687.0,3.0476964494336363
Kansas,Wichita,Wichita Police Department,1.0,2.0,,,,10.0,,13.0,382368.0,42676.0,246744.0,3424.0,18272.0,311.0,18583.0,472.0,12121.0,58348.0,49.26599884033203,15.0,3.9229224202862163,4.856951567973411,3.3474820240215313,5.789690645249443,4.8967280063461605,0.5781797731746181,0.8457667786385139,3065.0,,3839.0,4136.0,3998.0,4622.0,3932.0,10.283287304376936,10566.0,9323.0,9307.0,9120.0,8322.0,3931.0,8000.6,16.248781341399393
North Carolina,Winston-Salem,Winston-Salem Police Department,3.0,,,,,,,3.0,229617.0,78065.0,108222.0,567.0,4536.0,138.0,4674.0,535.0,3801.0,33753.0,50.44014358520508,13.0,5.6616017106747325,1.8664621024202415,5.489930552378513,0.0,0.0,,,1426.0,1696.0,,,,,1561.0,6.798277131048659,19742.0,18875.0,16146.0,15432.0,,12786.0,15809.75,1.897563212574519
United States,Big Cities Average,Big Cities Average,759.0,464.0,19.0,46.0,16.0,528.0,132.0,1964.0,61909961.0,12662657.0,24117461.0,290600.0,5078166.0,176551.0,5254717.0,175145.0,1472712.0,16411918.0,,5731.0,9.25699177875431,4.53192707666911,8.562860972114418,3.127550260310214,4.038876765391729,2.737881171976782,1.2913866858181593,445359.0,441400.0,459609.0,490035.0,483253.0,480067.0,466620.5,7.537082764435921,,,,,,,,10.82891100579518
United States,Nationwide Average,Nationwide Average,1957.0,1338.0,111.0,120.0,42.0,3417.0,641.0,7626.0,318900000.0,42094800.0,196817552.0,,,,,,,50478000.0,,,5.0,3.416207498992071,6.6414718343222585,2.4801794971154663,3.7866567047596407,2.6778190215855417,1.52676719937555,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data from 1/1/13 - 12/31/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
